latency,type,dataset,third,N1,resp
78281.4,6,NeoRec_2018-07-06_14-02-33,3,-1.974906,high
78373,6,NeoRec_2018-07-06_14-02-33,3,-0.6331485,high
78466.4,6,NeoRec_2018-07-06_14-02-33,3,-1.17255,high
78572.4,6,NeoRec_2018-07-06_14-02-33,3,0.7934298,high
78680.2,6,NeoRec_2018-07-06_14-02-33,3,-1.019866,high
78769.1,6,NeoRec_2018-07-06_14-02-33,3,-3.507413,high
78850.9,6,NeoRec_2018-07-06_14-02-33,3,-2.004563,high
78959.9,6,NeoRec_2018-07-06_14-02-33,3,1.520474,high
79070.7,6,NeoRec_2018-07-06_14-02-33,3,3.683238,high
91880.5,7,NeoRec_2018-07-06_14-02-33,1,1.819519,low
91994.3,7,NeoRec_2018-07-06_14-02-33,1,-10.00739,low
92083.7,7,NeoRec_2018-07-06_14-02-33,1,1.61187,low
92171.9,7,NeoRec_2018-07-06_14-02-33,1,-5.903059,low
92255.1,7,NeoRec_2018-07-06_14-02-33,1,-9.347948,low
92363.8,7,NeoRec_2018-07-06_14-02-33,1,-2.969524,low
92472.2,7,NeoRec_2018-07-06_14-02-33,1,-9.766041,low
92574.8,7,NeoRec_2018-07-06_14-02-33,1,0.7823638,low
92689.2,7,NeoRec_2018-07-06_14-02-33,1,1.607173,low
92778.2,7,NeoRec_2018-07-06_14-02-33,1,-6.856803,low
92890,7,NeoRec_2018-07-06_14-02-33,1,8.808674,low
